关卡,文件名,文件名备份,难度,解锁机制,管道,参与循环,金币奖励,管道最大容量,出口数,引导内容,,,,
65,65,65,普通,封锁木箱,P29,65,25,,,,M,普通,,
66,66,66,普通,封锁木箱,P11,66,25,,,,M,普通,,
67,67,67,困难,封锁木箱,P32,67,50,,,,H,困难,,
68,68,68,普通,封锁木箱,P28,68,25,,,,E,普通,,
69,69,69,普通,封锁木箱,P31,69,25,,,,M,普通,,
70,70,70,非常困难,封锁木箱,P33,70,75,,,,SH,非常困难,,
71,71,71,普通,弹出平台,P6,,25,,,机制x封锁木箱,E,普通,,
72,72,72,普通,弹出平台,P17,72,25,,,,M,普通,,
73,73,73,普通,弹出平台,P29,73,25,,,,M,普通,,
74,74,74,困难,弹出平台,P16,74,50,,,,H,困难,,
75,75,75,普通,弹出平台,P19,75,25,,,,M,普通,,
76,76,76,普通,弹出平台,P11,76,25,,,,M,普通,,
77,77,77,困难,弹出平台,P24,77,50,,,,H,困难,,
78,78,78,普通,弹出平台,P25,78,25,,,,E,普通,,
79,79,79,普通,弹出平台,P32,79,25,,,,M,普通,,
80,80,80,非常困难,弹出平台,P30,80,75,,,,W,非常困难,,
81,81,81,普通,断裂路段,,,25,,,机制x弹出平台,E,普通,,
82,82,82,普通,断裂路段,,82,25,,,,M,普通,,
83,83,83,普通,断裂路段,,83,25,,,,M,普通,,
84,84,84,困难,断裂路段,,84,50,,,,H,困难,,
85,85,85,普通,断裂路段,,85,25,,,,M,普通,,
86,86,86,普通,断裂路段,,86,25,,,,M,普通,,
87,87,87,困难,断裂路段,,87,50,,,,H,困难,,
88,88,88,普通,断裂路段,,88,25,,,,E,普通,,
89,89,89,普通,断裂路段,,89,25,,,,M,普通,,
90,90,90,非常困难,断裂路段,,90,75,,,,SH,非常困难,,
91,91,91,普通,激光发射器,,,25,,,机制x断裂路段,E,普通,,
92,92,92,普通,激光发射器,,92,25,,,,M,普通,,
93,93,93,普通,激光发射器,,93,25,,,,M,普通,,
94,94,94,困难,激光发射器,,94,50,,,,H,困难,,
95,95,95,普通,激光发射器,,95,25,,,,M,普通,,
96,96,96,普通,激光发射器,,96,25,,,,M,普通,,
97,97,97,困难,激光发射器,,97,50,,,,H,困难,,
98,98,98,普通,激光发射器,,98,25,,,,E,普通,,
99,99,99,普通,激光发射器,,99,25,,,,M,普通,,
100,100,100,非常困难,激光发射器,,100,75,,,,W,非常困难,,
101,101,101,普通,密封容器,,,25,,,机制x激光发射器,E,普通,,
102,102,102,普通,密封容器,,102,25,,,,M,普通,,
103,103,103,普通,密封容器,,103,25,,,,M,普通,,
104,104,104,困难,密封容器,,104,50,,,,H,困难,,
105,105,105,普通,密封容器,,105,25,,,,M,普通,,
106,106,106,普通,密封容器,,106,25,,,,M,普通,,
107,107,107,困难,密封容器,,107,50,,,,H,困难,,
108,108,108,普通,密封容器,,108,25,,,,E,普通,,
109,109,109,普通,密封容器,,109,25,,,,M,普通,,
110,110,110,非常困难,密封容器,,110,75,,,,SH,非常困难,,
111,111,111,普通,密封容器,,111,25,,,,E,普通,,
112,112,112,普通,密封容器,,112,25,,,,M,普通,,
113,113,113,普通,密封容器,,113,25,,,,M,普通,,
114,114,114,困难,密封容器,,114,50,,,,H,困难,,
115,115,115,普通,密封容器,,115,25,,,,M,普通,,
116,116,116,普通,密封容器,,116,25,,,,M,普通,,
117,117,117,困难,密封容器,,117,50,,,,H,困难,,
118,118,118,普通,密封容器,,118,25,,,,E,普通,,
119,119,119,普通,密封容器,,119,25,,,,M,普通,,
120,120,120,非常困难,密封容器,,120,75,,,,W,非常困难,,
121,121,121,普通,色感路障,,,25,,,机制x密封容器,E,普通,,
122,122,122,普通,色感路障,,122,25,,,,M,普通,,
123,123,123,普通,色感路障,,123,25,,,,M,普通,,
124,124,124,困难,色感路障,,124,50,,,,H,困难,,
125,125,125,普通,色感路障,,125,25,,,,M,普通,,
126,126,126,普通,色感路障,,126,25,,,,M,普通,,
127,127,127,困难,色感路障,,127,50,,,,H,困难,,
128,128,128,普通,色感路障,,128,25,,,,E,普通,,
129,129,129,普通,色感路障,,129,25,,,,M,普通,,
130,130,130,非常困难,色感路障,,130,75,,,,SH,非常困难,,
131,131,131,普通,色感路障,,131,25,,,,E,普通,,
132,132,132,普通,色感路障,,132,25,,,,M,普通,,
133,133,133,普通,色感路障,,133,25,,,,M,普通,,
134,134,134,困难,色感路障,,134,50,,,,H,困难,,
135,135,135,普通,色感路障,,135,25,,,,M,普通,,
136,136,136,普通,色感路障,,136,25,,,,M,普通,,
137,137,137,困难,色感路障,,137,50,,,,H,困难,,
138,138,138,普通,色感路障,,138,25,,,,E,普通,,
139,139,139,普通,色感路障,,139,25,,,,M,普通,,
140,140,140,非常困难,色感路障,,140,75,,,,W,非常困难,,
141,141,141,普通,色感路障,,141,25,,,,E,普通,,
142,142,142,普通,色感路障,,142,25,,,,M,普通,,
143,143,143,普通,色感路障,,143,25,,,,M,普通,,
144,144,144,困难,色感路障,,144,50,,,,H,困难,,
145,145,145,普通,色感路障,,145,25,,,,M,普通,,
146,146,146,普通,色感路障,,146,25,,,,M,普通,,
147,147,147,困难,色感路障,,147,50,,,,H,困难,,
148,148,148,普通,色感路障,,148,25,,,,E,普通,,
149,149,149,普通,色感路障,,149,25,,,,M,普通,,
150,150,150,非常困难,色感路障,,150,75,,,,SH,非常困难,,
151,151,151,普通,火箭发射器,,,25,,,机制x色感路障,E,普通,,
152,152,152,普通,火箭发射器,,152,25,,,,M,普通,,
153,153,153,普通,火箭发射器,,153,25,,,,M,普通,,
154,154,154,困难,火箭发射器,,154,50,,,,H,困难,,
155,155,155,普通,火箭发射器,,155,25,,,,M,普通,,
156,156,156,普通,火箭发射器,,156,25,,,,M,普通,,
157,157,157,困难,火箭发射器,,157,50,,,,H,困难,,
158,158,158,普通,火箭发射器,,158,25,,,,E,普通,,
159,159,159,普通,火箭发射器,,159,25,,,,M,普通,,
160,160,160,非常困难,火箭发射器,,160,75,,,,W,非常困难,,
161,161,161,普通,火箭发射器,,161,25,,,,E,普通,,
162,162,162,普通,火箭发射器,,162,25,,,,M,普通,,
163,163,163,普通,火箭发射器,,163,25,,,,M,普通,,
164,164,164,困难,火箭发射器,,164,50,,,,H,困难,,
165,165,165,普通,火箭发射器,,165,25,,,,M,普通,,
166,166,166,普通,火箭发射器,,166,25,,,,M,普通,,
167,167,167,困难,火箭发射器,,167,50,,,,H,困难,,
168,168,168,普通,火箭发射器,,168,25,,,,E,普通,,
169,169,169,普通,火箭发射器,,169,25,,,,M,普通,,
170,170,170,非常困难,火箭发射器,,170,75,,,,SH,非常困难,,
171,171,171,普通,神秘礼物,,,25,,,机制x火箭发射器,E,普通,,
172,172,172,普通,神秘礼物,,172,25,,,,M,普通,,
173,173,173,普通,神秘礼物,,173,25,,,,M,普通,,
174,174,174,困难,神秘礼物,,174,50,,,,H,困难,,
175,175,175,普通,神秘礼物,,175,25,,,,M,普通,,
176,176,176,普通,神秘礼物,,176,25,,,,M,普通,,
177,177,177,困难,神秘礼物,,177,50,,,,H,困难,,
178,178,178,普通,神秘礼物,,178,25,,,,E,普通,,
179,179,179,普通,神秘礼物,,179,25,,,,M,普通,,
180,180,180,非常困难,神秘礼物,,180,75,,,,W,非常困难,,
181,181,181,普通,神秘礼物,,181,25,,,,E,普通,,
182,182,182,普通,神秘礼物,,182,25,,,,M,普通,,
183,183,183,普通,神秘礼物,,183,25,,,,M,普通,,
184,184,184,困难,神秘礼物,,184,50,,,,H,困难,,
185,185,185,普通,神秘礼物,,185,25,,,,M,普通,,
186,186,186,普通,神秘礼物,,186,25,,,,M,普通,,
187,187,187,困难,神秘礼物,,187,50,,,,H,困难,,
188,188,188,普通,神秘礼物,,188,25,,,,E,普通,,
189,189,189,普通,神秘礼物,,189,25,,,,M,普通,,
190,190,190,非常困难,神秘礼物,,190,75,,,,SH,非常困难,,
191,191,191,普通,神秘礼物,,191,25,,,,E,普通,,
192,192,192,普通,神秘礼物,,192,25,,,,M,普通,,
193,193,193,普通,神秘礼物,,193,25,,,,M,普通,,
194,194,194,困难,神秘礼物,,194,50,,,,H,困难,,
195,195,195,普通,神秘礼物,,195,25,,,,M,普通,,
196,196,196,普通,神秘礼物,,196,25,,,,M,普通,,
197,197,197,困难,神秘礼物,,197,50,,,,H,困难,,
198,198,198,普通,神秘礼物,,198,25,,,,E,普通,,
199,199,199,普通,神秘礼物,,199,25,,,,M,普通,,
200,200,200,非常困难,神秘礼物,,200,75,,,,W,非常困难,,
201,201,201,普通,隐匿小球,,,25,,,机制x神秘礼物,E,普通,,
202,202,202,普通,隐匿小球,,202,25,,,,M,普通,,
203,203,203,普通,隐匿小球,,203,25,,,,M,普通,,
204,204,204,困难,隐匿小球,,204,50,,,,H,困难,,
205,205,205,普通,隐匿小球,,205,25,,,,M,普通,,
206,206,206,普通,隐匿小球,,206,25,,,,M,普通,,
207,207,207,困难,隐匿小球,,207,50,,,,H,困难,,
208,208,208,普通,隐匿小球,,208,25,,,,E,普通,,
209,209,209,普通,隐匿小球,,209,25,,,,M,普通,,
210,210,210,非常困难,隐匿小球,,210,75,,,,SH,非常困难,,
211,211,211,普通,隐匿小球,,211,25,,,,E,普通,,
212,212,212,普通,隐匿小球,,212,25,,,,M,普通,,
213,213,213,普通,隐匿小球,,213,25,,,,M,普通,,
214,214,214,困难,隐匿小球,,214,50,,,,H,困难,,
215,215,215,普通,隐匿小球,,215,25,,,,M,普通,,
216,216,216,普通,隐匿小球,,216,25,,,,M,普通,,
217,217,217,困难,隐匿小球,,217,50,,,,H,困难,,
218,218,218,普通,隐匿小球,,218,25,,,,E,普通,,
219,219,219,普通,隐匿小球,,219,25,,,,M,普通,,
220,220,220,非常困难,隐匿小球,,220,75,,,,W,非常困难,,
221,221,221,普通,隐匿小球,,221,25,,,,E,普通,,
222,222,222,普通,隐匿小球,,222,25,,,,M,普通,,
223,223,223,普通,隐匿小球,,223,25,,,,M,普通,,
224,224,224,困难,隐匿小球,,224,50,,,,H,困难,,
225,225,225,普通,隐匿小球,,225,25,,,,M,普通,,
226,226,226,普通,隐匿小球,,226,25,,,,M,普通,,
227,227,227,困难,隐匿小球,,227,50,,,,H,困难,,
228,228,228,普通,隐匿小球,,228,25,,,,E,普通,,
229,229,229,普通,隐匿小球,,229,25,,,,M,普通,,
230,230,230,非常困难,隐匿小球,,230,75,,,,SH,非常困难,,
231,231,231,普通,隐匿小球,,231,25,,,,E,普通,,
232,232,232,普通,隐匿小球,,232,25,,,,M,普通,,
233,233,233,普通,隐匿小球,,233,25,,,,M,普通,,
234,234,234,困难,隐匿小球,,234,50,,,,H,困难,,
235,235,235,普通,隐匿小球,,235,25,,,,M,普通,,
236,236,236,普通,隐匿小球,,236,25,,,,M,普通,,
237,237,237,困难,隐匿小球,,237,50,,,,H,困难,,
238,238,238,普通,隐匿小球,,238,25,,,,E,普通,,
239,239,239,普通,隐匿小球,,239,25,,,,M,普通,,
240,240,240,非常困难,隐匿小球,,240,75,,,,W,非常困难,,
241,241,241,普通,隐匿小球,,241,25,,,,E,普通,,
242,242,242,普通,隐匿小球,,242,25,,,,M,普通,,
243,243,243,普通,隐匿小球,,243,25,,,,M,普通,,
244,244,244,困难,隐匿小球,,244,50,,,,H,困难,,
245,245,245,普通,隐匿小球,,245,25,,,,M,普通,,
246,246,246,普通,隐匿小球,,246,25,,,,M,普通,,
247,247,247,困难,隐匿小球,,247,50,,,,H,困难,,
248,248,248,普通,隐匿小球,,248,25,,,,E,普通,,
249,249,249,普通,隐匿小球,,249,25,,,,M,普通,,
250,250,250,非常困难,隐匿小球,,250,75,,,,SH,非常困难,,
251,251,251,普通,无,,,25,,,机制x隐匿小球,E,普通,,
252,252,252,普通,无,,252,25,,,,M,普通,,
253,253,253,普通,无,,253,25,,,,M,普通,,
254,254,254,困难,无,,254,50,,,,H,困难,,
255,255,255,普通,无,,255,25,,,,M,普通,,
256,256,256,普通,无,,256,25,,,,M,普通,,
257,257,257,困难,无,,257,50,,,,H,困难,,
258,258,258,普通,无,,258,25,,,,E,普通,,
259,259,259,普通,无,,259,25,,,,M,普通,,
260,260,260,非常困难,无,,260,75,,,,W,非常困难,,
261,261,261,普通,无,,261,25,,,,E,普通,,
262,262,262,普通,无,,262,25,,,,M,普通,,
263,263,263,普通,无,,263,25,,,,M,普通,,
264,264,264,困难,无,,264,50,,,,H,困难,,
265,265,265,普通,无,,265,25,,,,M,普通,,
266,266,266,普通,无,,266,25,,,,M,普通,,
267,267,267,困难,无,,267,50,,,,H,困难,,
268,268,268,普通,无,,268,25,,,,E,普通,,
269,269,269,普通,无,,269,25,,,,M,普通,,
270,270,270,非常困难,无,,270,75,,,,SH,非常困难,,
271,271,271,普通,无,,271,25,,,,E,普通,,
272,272,272,普通,无,,272,25,,,,M,普通,,
273,273,273,普通,无,,273,25,,,,M,普通,,
274,274,274,困难,无,,274,50,,,,H,困难,,
275,275,275,普通,无,,275,25,,,,M,普通,,
276,276,276,普通,无,,276,25,,,,M,普通,,
277,277,277,困难,无,,277,50,,,,H,困难,,
278,278,278,普通,无,,278,25,,,,E,普通,,
279,279,279,普通,无,,279,25,,,,M,普通,,
280,280,280,非常困难,无,,280,75,,,,W,非常困难,,
281,281,281,普通,无,,281,25,,,,E,普通,,
282,282,282,普通,无,,282,25,,,,M,普通,,
283,283,283,普通,无,,283,25,,,,M,普通,,
284,284,284,困难,无,,284,50,,,,H,困难,,
285,285,285,普通,无,,285,25,,,,M,普通,,
286,286,286,普通,无,,286,25,,,,M,普通,,
287,287,287,困难,无,,287,50,,,,H,困难,,
288,288,288,普通,无,,288,25,,,,E,普通,,
289,289,289,普通,无,,289,25,,,,M,普通,,
290,290,290,非常困难,无,,290,75,,,,SH,非常困难,,
291,291,291,普通,无,,291,25,,,,E,普通,,
292,292,292,普通,无,,292,25,,,,M,普通,,
293,293,293,普通,无,,293,25,,,,M,普通,,
294,294,294,困难,无,,294,50,,,,H,困难,,
295,295,295,普通,无,,295,25,,,,M,普通,,
296,296,296,普通,无,,296,25,,,,M,普通,,
297,297,297,困难,无,,297,50,,,,H,困难,,
298,298,298,普通,无,,298,25,,,,E,普通,,
299,299,299,普通,无,,299,25,,,,M,普通,,
300,300,300,非常困难,无,,300,75,,,,W,非常困难,,
,301,301,普通,无,,,25,,,,E,普通,,
302,302,302,普通,无,,,25,,,,M,普通,,
303,303,303,普通,无,,,25,,,,M,普通,,
304,304,304,困难,无,,,50,,,,H,困难,,
305,305,305,普通,无,,,25,,,,M,普通,,
306,306,306,普通,无,,,25,,,,M,普通,,
307,307,307,困难,无,,,50,,,,H,困难,,
308,308,308,普通,无,,,25,,,,E,普通,,
309,309,309,普通,无,,,25,,,,M,普通,,
310,310,310,非常困难,无,,,75,,,,W,非常困难,,
311,311,311,普通,无,,,25,,,,E,普通,,
312,312,312,普通,无,,,25,,,,M,普通,,
313,313,313,普通,无,,,25,,,,M,普通,,
314,314,314,困难,无,,,50,,,,H,困难,,
315,315,315,普通,无,,,25,,,,M,普通,,
316,316,316,普通,无,,,25,,,,M,普通,,
317,317,317,困难,无,,,50,,,,H,困难,,
318,318,318,普通,无,,,25,,,,E,普通,,
319,319,319,普通,无,,,25,,,,M,普通,,
320,320,320,非常困难,无,,,75,,,,SH,非常困难,,
321,321,321,普通,无,,,25,,,,E,普通,,
322,322,322,普通,无,,,25,,,,M,普通,,
323,323,323,普通,无,,,25,,,,M,普通,,
324,324,324,困难,无,,,50,,,,H,困难,,
325,325,325,普通,无,,,25,,,,M,普通,,
326,326,326,普通,无,,,25,,,,M,普通,,
327,327,327,困难,无,,,50,,,,H,困难,,
328,328,328,普通,无,,,25,,,,E,普通,,
329,329,329,普通,无,,,25,,,,M,普通,,
330,330,330,非常困难,无,,,75,,,,W,非常困难,,
331,331,331,普通,无,,,25,,,,E,普通,,
332,332,332,普通,无,,,25,,,,M,普通,,
333,333,333,普通,无,,,25,,,,M,普通,,
334,334,334,困难,无,,,50,,,,H,困难,,
335,335,335,普通,无,,,25,,,,M,普通,,
336,336,336,普通,无,,,25,,,,M,普通,,
337,337,337,困难,无,,,50,,,,H,困难,,
338,338,338,普通,无,,,25,,,,E,普通,,
339,339,339,普通,无,,,25,,,,M,普通,,
340,340,340,非常困难,无,,,75,,,,SH,非常困难,,
341,341,341,普通,无,,,25,,,,E,普通,,
342,342,342,普通,无,,,25,,,,M,普通,,
343,343,343,普通,无,,,25,,,,M,普通,,
344,344,344,困难,无,,,50,,,,H,困难,,
345,345,345,普通,无,,,25,,,,M,普通,,
346,346,346,普通,无,,,25,,,,M,普通,,
347,347,347,困难,无,,,50,,,,H,困难,,
348,348,348,普通,无,,,25,,,,E,普通,,
349,349,349,普通,无,,,25,,,,M,普通,,
350,350,350,非常困难,无,,,75,,,,W,非常困难,,
351,351,351,普通,无,,,25,,,,E,普通,,
352,352,352,普通,无,,,25,,,,M,普通,,
353,353,353,普通,无,,,25,,,,M,普通,,
354,354,354,困难,无,,,50,,,,H,困难,,
355,355,355,普通,无,,,25,,,,M,普通,,
356,356,356,普通,无,,,25,,,,M,普通,,
357,357,357,困难,无,,,50,,,,H,困难,,
358,358,358,普通,无,,,25,,,,E,普通,,
359,359,359,普通,无,,,25,,,,M,普通,,
360,360,360,非常困难,无,,,75,,,,W,非常困难,,
361,361,361,普通,无,,,25,,,,E,普通,,
362,362,362,普通,无,,,25,,,,M,普通,,
363,363,363,普通,无,,,25,,,,M,普通,,
364,364,364,困难,无,,,50,,,,H,困难,,
365,365,365,普通,无,,,25,,,,M,普通,,
366,366,366,普通,无,,,25,,,,M,普通,,
367,367,367,困难,无,,,50,,,,H,困难,,
368,368,368,普通,无,,,25,,,,E,普通,,
369,369,369,普通,无,,,25,,,,M,普通,,
370,370,370,非常困难,无,,,75,,,,SH,非常困难,,
371,371,371,普通,无,,,25,,,,E,普通,,
372,372,372,普通,无,,,25,,,,M,普通,,
373,373,373,普通,无,,,25,,,,M,普通,,
374,374,374,困难,无,,,50,,,,H,困难,,
375,375,375,普通,无,,,25,,,,M,普通,,
376,376,376,普通,无,,,25,,,,M,普通,,
377,377,377,困难,无,,,50,,,,H,困难,,
378,378,378,普通,无,,,25,,,,E,普通,,
379,379,379,普通,无,,,25,,,,M,普通,,
380,380,380,非常困难,无,,,75,,,,W,非常困难,,
381,381,381,普通,无,,,25,,,,E,普通,,
382,382,382,普通,无,,,25,,,,M,普通,,
383,383,383,普通,无,,,25,,,,M,普通,,
384,384,384,困难,无,,,50,,,,H,困难,,
385,385,385,普通,无,,,25,,,,M,普通,,
386,386,386,普通,无,,,25,,,,M,普通,,
387,387,387,困难,无,,,50,,,,H,困难,,
388,388,388,普通,无,,,25,,,,E,普通,,
389,389,389,普通,无,,,25,,,,M,普通,,
390,390,390,非常困难,无,,,75,,,,SH,非常困难,,
391,391,391,普通,无,,,25,,,,E,普通,,
392,392,392,普通,无,,,25,,,,M,普通,,
393,393,393,普通,无,,,25,,,,M,普通,,
394,394,394,困难,无,,,50,,,,H,困难,,
395,395,395,普通,无,,,25,,,,M,普通,,
396,396,396,普通,无,,,25,,,,M,普通,,
397,397,397,困难,无,,,50,,,,H,困难,,
398,398,398,普通,无,,,25,,,,E,普通,,
399,399,399,普通,无,,,25,,,,M,普通,,
400,400,400,非常困难,无,,,75,,,,W,非常困难,,
401,401,401,普通,无,,,25,,,,E,普通,,
402,402,402,普通,无,,,25,,,,M,普通,,
403,403,403,普通,无,,,25,,,,M,普通,,
404,404,404,困难,无,,,50,,,,H,困难,,
405,405,405,普通,无,,,25,,,,M,普通,,
406,406,406,普通,无,,,25,,,,M,普通,,
407,407,407,困难,无,,,50,,,,H,困难,,
408,408,408,普通,无,,,25,,,,E,普通,,
409,409,409,普通,无,,,25,,,,M,普通,,
410,410,410,非常困难,无,,,75,,,,W,非常困难,,
411,411,411,普通,无,,,25,,,,E,普通,,
412,412,412,普通,无,,,25,,,,M,普通,,
413,413,413,普通,无,,,25,,,,M,普通,,
414,414,414,困难,无,,,50,,,,H,困难,,
415,415,415,普通,无,,,25,,,,M,普通,,
416,416,416,普通,无,,,25,,,,M,普通,,
417,417,417,困难,无,,,50,,,,H,困难,,
418,418,418,普通,无,,,25,,,,E,普通,,
419,419,419,普通,无,,,25,,,,M,普通,,
420,420,420,非常困难,无,,,75,,,,SH,非常困难,,
421,421,421,普通,无,,,25,,,,E,普通,,
422,422,422,普通,无,,,25,,,,M,普通,,
423,423,423,普通,无,,,25,,,,M,普通,,
424,424,424,困难,无,,,50,,,,H,困难,,
425,425,425,普通,无,,,25,,,,M,普通,,
426,426,426,普通,无,,,25,,,,M,普通,,
427,427,427,困难,无,,,50,,,,H,困难,,
428,428,428,普通,无,,,25,,,,E,普通,,
429,429,429,普通,无,,,25,,,,M,普通,,
430,430,430,非常困难,无,,,75,,,,W,非常困难,,
431,431,431,普通,无,,,25,,,,E,普通,,
432,432,432,普通,无,,,25,,,,M,普通,,
433,433,433,普通,无,,,25,,,,M,普通,,
434,434,434,困难,无,,,50,,,,H,困难,,
435,435,435,普通,无,,,25,,,,M,普通,,
436,436,436,普通,无,,,25,,,,M,普通,,
437,437,437,困难,无,,,50,,,,H,困难,,
438,438,438,普通,无,,,25,,,,E,普通,,
439,439,439,普通,无,,,25,,,,M,普通,,
440,440,440,非常困难,无,,,75,,,,SH,非常困难,,
441,441,441,普通,无,,,25,,,,E,普通,,
442,442,442,普通,无,,,25,,,,M,普通,,
443,443,443,普通,无,,,25,,,,M,普通,,
444,444,444,困难,无,,,50,,,,H,困难,,
445,445,445,普通,无,,,25,,,,M,普通,,
446,446,446,普通,无,,,25,,,,M,普通,,
447,447,447,困难,无,,,50,,,,H,困难,,
448,448,448,普通,无,,,25,,,,E,普通,,
449,449,449,普通,无,,,25,,,,M,普通,,
450,450,450,非常困难,无,,,75,,,,W,非常困难,,
451,451,451,普通,无,,,25,,,,E,普通,,
452,452,452,普通,无,,,25,,,,M,普通,,
453,453,453,普通,无,,,25,,,,M,普通,,
454,454,454,困难,无,,,50,,,,H,困难,,
455,455,455,普通,无,,,25,,,,M,普通,,
456,456,456,普通,无,,,25,,,,M,普通,,
457,457,457,困难,无,,,50,,,,H,困难,,
458,458,458,普通,无,,,25,,,,E,普通,,
459,459,459,普通,无,,,25,,,,M,普通,,
460,460,460,非常困难,无,,,75,,,,W,非常困难,,
461,461,461,普通,无,,,25,,,,E,普通,,
462,462,462,普通,无,,,25,,,,M,普通,,
463,463,463,普通,无,,,25,,,,M,普通,,
464,464,464,困难,无,,,50,,,,H,困难,,
465,465,465,普通,无,,,25,,,,M,普通,,
466,466,466,普通,无,,,25,,,,M,普通,,
467,467,467,困难,无,,,50,,,,H,困难,,
468,468,468,普通,无,,,25,,,,E,普通,,
469,469,469,普通,无,,,25,,,,M,普通,,
470,470,470,非常困难,无,,,75,,,,SH,非常困难,,
471,471,471,普通,无,,,25,,,,E,普通,,
472,472,472,普通,无,,,25,,,,M,普通,,
473,473,473,普通,无,,,25,,,,M,普通,,
474,474,474,困难,无,,,50,,,,H,困难,,
475,475,475,普通,无,,,25,,,,M,普通,,
476,476,476,普通,无,,,25,,,,M,普通,,
477,477,477,困难,无,,,50,,,,H,困难,,
478,478,478,普通,无,,,25,,,,E,普通,,
479,479,479,普通,无,,,25,,,,M,普通,,
480,480,480,非常困难,无,,,75,,,,W,非常困难,,
481,481,481,普通,无,,,25,,,,E,普通,,
482,482,482,普通,无,,,25,,,,M,普通,,
